Ano/mês compet.;Total
2019/Jan;17328
2019/Fev;17306
2019/Mar;17421
2019/Abr;17444
2019/Mai;17357
2019/Jun;17219
2019/Jul;17199
2019/Ago;17087
2019/Set;17151
2019/Out;17262
2019/Nov;17413
2019/Dez;17358
2020/Jan;17502
2020/Fev;17445
2020/Mar;17666
2020/Abr;17747
2020/Mai;17784
2020/Jun;17880
2020/Jul;18022
2020/Ago;18177
2020/Set;18152
2020/Out;18164
2020/Nov;17965
2020/Dez;18305
2021/Jan;18290
2021/Fev;18386
2021/Mar;18526
2021/Abr;18409
2021/Mai;18340
2021/Jun;18423
2021/Jul;18564
2021/Ago;18708
2021/Set;18778
2021/Out;18766
2021/Nov;18804
2021/Dez;18920
2022/Jan;18947
2022/Fev;18851
2022/Mar;18871
2022/Abr;18929
2022/Mai;18947
2022/Jun;18666
2022/Jul;18727
2022/Ago;18803
2022/Set;18775
2022/Out;18856
2022/Nov;18692
